Date,Time,Master State,Alarm State,Venous,BP Out,DP In,DP Out,Sorb In,TMP,PUC TP1,PUC TP2,PUC TP3,PUC TP4
_AA_10/2/2015,12:52:08 PM,5,0,43.28627,6.693554,7.761986,35.052544,175.44717,-18.917355,0.0089,0.001324,0.00703,0.015934
_AA_10/2/2015,12:52:09 PM,5,0,43.204983,6.698597,7.761986,35.119007,175.474709,-18.988708,0.008923,0.001324,0.007103,0.015934
_AA_10/2/2015,12:52:09 PM,5,0,43.197113,6.691029,7.759121,34.988979,175.543549,-18.929981,0.008915,0.001316,0.007092,0.015949
_AA_10/2/2015,12:52:10 PM,5,0,43.207607,6.693554,7.759121,35.116119,175.522896,-18.987041,0.008926,0.001324,0.007092,0.015984
_AA_10/2/2015,12:52:11 PM,5,0,43.291519,6.691029,7.759121,34.962975,175.502247,-18.869774,0.00893,0.001324,0.007099,0.015942
_AA_10/2/2015,12:52:11 PM,5,0,43.181381,6.685989,7.753391,35.133461,175.495361,-19.009743,0.008957,0.001324,0.007122,0.015934
_AA_10/2/2015,12:52:12 PM,5,0,43.273163,6.683464,7.761986,34.942757,175.48848,-18.874058,0.008987,0.001316,0.007114,0.015957
_AA_10/2/2015,12:52:12 PM,5,0,43.278404,6.691029,7.759121,35.020763,175.571091,-18.905228,0.008961,0.001324,0.007053,0.015911
_AA_10/2/2015,12:52:13 PM,5,0,43.202362,6.691029,7.767712,34.954308,175.48159,-18.914314,0.008945,0.001316,0.007183,0.015961
_AA_10/2/2015,12:52:13 PM,5,0,43.265293,6.691029,7.75053,35.113228,175.419643,-18.95372,0.008945,0.001324,0.007053,0.015949
_AA_10/2/2015,12:52:14 PM,5,0,43.231205,6.693554,7.761986,34.948536,175.392105,-18.892883,0.008915,0.00132,0.007092,0.015961
_AA_10/2/2015,12:52:14 PM,5,0,43.204983,6.685989,7.759121,35.069881,175.419643,-18.95372,0.008892,0.001324,0.007034,0.015926
_AA_10/2/2015,12:52:15 PM,5,0,43.283646,6.691029,7.759121,34.988979,175.474709,-18.886715,0.008942,0.001312,0.007107,0.015965
